type_key,name,function,family,base,pins,heater_v,heater_a,va_max,pa_max,gm,mu,power_out,freq_max,typical_use,equivalents,datasheet_path,datasheet_url,confidence,notes
EC91,EC91,triode,european (Mullard/Philips code),,,6.3,,,,,,,,miniature single triode. The Mullard manual describes the EC91 as a miniature screened triode for use as a grounded grid amplifier.,,,,inferred,
EC92,EC92,triode,european (Mullard/Philips code),,,6.3,,,,,,,,"Single triode designed for use as a mixer, amplifier or oscillator in VHF television receivers.",,,,inferred,
ECC801,ECC801,double triode,european (Mullard/Philips code),,,6.3,,,,,,,,,ECC801S = 6201,,,inferred,
ECC82,ECC82,double triode,european (Mullard/Philips code),,,6.3,,,,,,,,,12AU7 VLVE-00009,,,inferred,
ECC83,ECC83,double triode,european (Mullard/Philips code),,,6.3,,,,,,,,High Impedance Pre- Amplifier Triode,"12AX7 VLVE-0051,41,40",,,inferred,
ECC8312AX7,ECC83/12AX7,,,,,,,,,,,,,,Double Triode,,,inferred,
ECC83S,ECC83S,double triode,european (Mullard/Philips code),,,6.3,,,,,,,,High Impedance Pre- Amplifier Triode,,,,inferred,
ECC85,ECC85,double triode,european (Mullard/Philips code),,,6.3,,,,,,,,,,,,inferred,
ECF80,ECF80,triode + pentode,european (Mullard/Philips code),,,6.3,,,,,,,,The EF80 internally screened pentode was a workhorse of the VHF TV receiver and was introduced in mid 1950 to replace the EF91. It was described by Mullard as: a high slope RF pentode and not a variable μ type.,6BL8 6C16 CV5215,,,inferred,
ECF805,ECF805,triode + pentode,european (Mullard/Philips code),,,6.3,,,,,,,,Triode-Pentode   RF/IF-Stage   Controlling (mu),,,,inferred,
ECF80CV5215,ECF80/CV5215,,,,,,,,,,,,,,,,,inferred,
ECH35,ECH35,triode + hexode/heptode,european (Mullard/Philips code),,,6.3,,,,,,,,he ECH35 is a typical triode hexode frequency changer or mixer for broadcast applications. The exhibit has the Mullard red paint external metallisation and for maximum isolation of the signal input and output circuits the hexode control grid is taken to the top cap.,ARTH2 BVA276 CV1347 CV1944 OM10 X147 X61M X61 X65,,,inferred,
ECH42,ECH42,triode + hexode/heptode,european (Mullard/Philips code),,,6.3,,,,,,,,,,,,inferred,
ECH84,ECH84,triode + hexode/heptode,european (Mullard/Philips code),,,6.3,,,,,,,,The ECH84 is a low voltage triode heptode. The triode heptode was designed for noise immune TV sync separators.,,,,inferred,
ECL80,ECL80,triode + output pentode/tetrode,european (Mullard/Philips code),,,6.3,,,,,,,,"The ECL80 is a triode, output pentode for audio use. The heater at 6.3 Volts and 300 mA makes this valve suitable for equipment with mains transformers and heater chains across the domestic mains.",,,,inferred,
ECL83,ECL83,triode + output pentode/tetrode,european (Mullard/Philips code),,,6.3,,,,,,,,,,,,inferred,
EF183,EF183,pentode,european (Mullard/Philips code),,,6.3,,,,,,,,The EF183 is a high gain variable μ RF amplifier pentode. It is a late 1950s design and superseded the EF85. The EF184 was the straight version of the design and replaced the EF80. All four valves have the same pin connections.,,,,inferred,
EF184,EF184,pentode,european (Mullard/Philips code),,,6.3,,,,,,,,The EF184 is a purpose designed high gain frame grid pentode. The EF184 superseded the ubiquitous EF80.,6EJ7 6F30 CV5810,,,inferred,
EF41,EF41,pentode,european (Mullard/Philips code),,,6.3,,,,,,,,Mullard describe the EF41 as a variable μ RF pentode for use as an RF or IF amplifier,,,,inferred,
EF80,EF80,pentode,european (Mullard/Philips code),,,6.3,,,,,,,,internally screened pentode was a workhorse of the VHF TV receiver and was introduced in mid 1950 to replace the EF91. It was described by Mullard as: a high slope RF pentode and not a variable μ type,64SPT 6BX6 8D6 CV1376 Z152 Z719,,,inferred,
EF85,EF85,pentode,european (Mullard/Philips code),,,6.3,,,,,,,,The EF85 is a VHF variable μ pentode and is the counterpart to the EF80 straight RF pentode.,,,,inferred,
EF86,EF86,pentode,european (Mullard/Philips code),,,6.3,,,,,,,,The EF86 is the standard early stage audio pre-amplifier valve. This exhibit was made by Mullard in Great Britain. Mullard designed the EF86 and it took over the frond end stage of audio amplifiers from the octal EF37A. It was first shown at the 1953 Radio Show and first used in their 5-10 amplifier from 1954.,6267 6BK8 6F22 CV2901 Z729,,,inferred,
EF89,EF89,pentode,european (Mullard/Philips code),,,6.3,,,,,,,,miniature RF voltage amplifier. Mullard describe the EF89 as a variable μ pentode for use as an RF or IF amplifier in FM/AM receivers and is designed to work with a tuned anode circuit.,,,,inferred,
EF91,EF91,pentode,european (Mullard/Philips code),,,6.3,,,,,,,,"The EF91 is a high gain, high impedance, high slope, screened pentode. Mullard describe the EF91 as primarily intended for use as RF amplifiers or mixer valves in television receivers.",,,,inferred,
EL34,EL34,output pentode/tetrode,european (Mullard/Philips code),,,6.3,,,,,,,,The EL34 is a much loved audio power Pentode valve with an anode dissipation of 25 Watts.,,,,inferred,
EL41,EL41,output pentode/tetrode,european (Mullard/Philips code),,,6.3,,,,,,,,"The EL41 is an early all glass output pentode. Mullard describe the EL41 as an output pentode rated for 9 watts anode dissipation, and intended primarily for use in AC mains operated equipment. They state that the EL41 should only be used with self-bias or semi-automatic bias",,,,inferred,
EL84,EL84,output pentode/tetrode,european (Mullard/Philips code),,,6.3,,,,,,,,,"2xMullard, 2xPinnacle,1XTEONEX",,,inferred,
EL95,EL95,output pentode/tetrode,european (Mullard/Philips code),,,6.3,,,,,,,,EL95 is an output pentode with low heater consumption designed initially for car radios. It would also provide adequate audio power for a domestic receiver or smaller stereo system.,,,,inferred,
ELC6J,EL C6J,thyratron (xenon),,,,2.5,,,,,,,,"Thyratron Xenon  Rectifier  - Peak Forward 750 Inverse 1250V Heater 2.5V 21 Amp, 6.4 Amps",,,,inferred,
EM84,EM84,tuning indicator,european (Mullard/Philips code),,,6.3,,,,,,,,"tuning indicator, or magic eye, was used to display the optimum tuning point of a receiver, or the recording level of a tape recorder. The main benefit in reception was for FM radio where the exact tuning point was harder to determine than for AM.",,,,inferred,
EV3A,EV-3A,nixie / 7-segment indicator,,,,,,,,,,,,,IV3A,,,inferred,
EY51,EY51,HV half-wave rectifier,european (Mullard/Philips code),,,6.3,,,,,,,,he EY51 is a wire-ended EHT rectifier with a 6.3 V 90 mA heater which is normally fed from a well-insulated winding on the line output transformer of a television,,,,inferred,
EY86,EY86,HV half-wave rectifier,european (Mullard/Philips code),,,6.3,,,,,,,,"The EY86 is a television EHT rectifier is rated in terms of peak inverse volts (PIV) and that is quoted at 22,000 Volts. If fed from a sine wave the anode voltage would be limited to just under 8,000 Volts,",6S2 CV2966,,,inferred,
GI15B,GI15B,UHF power triode,,,,,,,,,,,,,,,,inferred,
GI7B,GI7B,UHF power triode,,,,,,,,,,,,,,,,inferred,
GS14,GS-14,UHF power triode,,,,6.3,,,,,,,,"he GS-14 titanium-ceramic triode generates, amplifies and multiplies oscillations on the centimetric and decimetric wavelength ranges.",,,,inferred,"Application field: generator and high frequency amplifier; | Envelope: titanium-ceramic, silver coated leads; | Dimensions (D x H), mm: 25 x 37; | Mass, gr: 25; | Filament voltage, V: 6.3; | Filament current, A : 0.73 (+/-) 0.07; | Typical Anode current, mA: 30; | Typical Anode voltage, V: 350; | Mutual conductance, mA/V: 20; | Max anode power, W: 88; | Maximum operating frequency: about or over 4 GHz; | Ambient operating temperature: -60 ... +100 deg. Celsius; | Max envelope temperature: +200 deg. Celsius; | Base: special type, four leads, anode located on top, grid in the middle, cathode and filament at bottom; | Each tube contains approximately 0.25g Silver (Ag)."
GS15B,GS15B,power tetrode,,,,,,,,,,,,"NameGS15BTypetetrodeCathode typesponged-metal,.oxide,indrect heatingApplication fieldoscillation and power amplification in common grid configuration in continous modeBrief applicationHF amplification, oscillationEnvelopemetal-ceramicCooling methodforced airDimensions69mmx37.1mmMass140 gFilament voltage6.3 VFilament current1.85 - 2.2 AMutual conductance9 mA/VOutput power200 WMaximum anode voltage11 kVMaximum operating frequency26 MHz",,,,inferred,
GS23,GS23,power triode,,,,,,,,,,,,,,,,inferred,
GS35,GS35,power triode,,,,,,,,,,,,,,,,inferred,
GU35,GU35,power tetrode,,,,6.3,,,,,,,,"Power Tetrode 3.5KW out, Heater 6.3V at 38 Amps.  5KV Anode Max",,,,inferred,
GU46,GU46,power tetrode,,,,,,,,,,,,,,,,inferred,
GZ34,GZ34,full-wave rectifier,european (Mullard/Philips code),,,5.0,,,,,,,,he GZ34 is an example of a typical high current rectifier for small equipment use.,,,,inferred,
KT61,KT61,beam tetrode (output),british (GEC),,,6.3,,,,,,,,"Beam Tetrode: The KT61 audio output valve, part of a series of very successful valves from M-OV, features the standard 6.3 Volt heater that was introduced from America in the mid 1930's.",6AG6 6P25 CV1438 CV2938 EL33 N147 OM9,,,inferred,
KT66,KT66,beam tetrode (output),british (GEC),,,6.3,,,,,,,,,,,,inferred,
L776C4,L77/6C4,,,,,,,,,,,,,"The 6C4 triode valve was specified as both an amplifier and an RF power valve. In the latter role it would deliver 5.5 Watts in class C operation. With a very small envelope volume, this would make it ideal for hand portable equipment. In larger apparatus it could deliver enough drive power for much larger PA's.",CV133 CV852 EC90 L77 V741,,,inferred,
N37,N37,output pentode,british (GEC/Osram code),,,,,,,,,,,The N37 is a television type audio output pentode. The load impedance is 6000 Ohms and the cathode resistor is 330 Ohms. At 10% total harmonic distortion the valve can produce 2.3 watts of audio.,,,,inferred,
OA2,OA2,voltage stabiliser (cold cathode),,,,,,,,,,,,he 0A2 or OA2 is a cold cathode voltage stabiliser. The mean voltage stabilised is 150 Volts.,150C2 CV1832 CV1832 GD150M QS1207 VR150MT,,,inferred,
OB2,OB2,voltage stabiliser (cold cathode),,,,,,,,,,,,The regulation of this tube was 3.5 Volts for currents of between 5 and 30 mA. So the voltage across this tube in service would have been held at between 106 and 110 Volts. The striking voltage was 133 Volts.,108C1 108C1 6074 CV1833 CV1833 G108/1K QS1208,,,inferred,
OV65,OV65,output pentode (battery),,,,2.0,,,,,,,,The 1938 Pen25 battery output pentode from Mazda was designed for domestic broadcast receivers. The filament was to be run from accumulators and the 0.15 Amp filament current would have assisted in prolonging the accumulator life.,"OV65 cv65 PEN 25, 211 242C 4242A ES85 UE311",,,inferred,
P646,P646,,,,,,,,,,,,,The EY87 is an EHT rectifier designed for EHT derived from the line timebase flyback. The DY87 has the same high voltage rating but has a 1.4 Volt 0.55 Amp heater. It is also for use in flyback generated EHT.,EY86 = EY87,,,inferred,
PC86,PC86,triode,european (Mullard/Philips code),,,,0.3,,,,,,,The PC86 is a purpose designed UHF oscillator triode for television reception,,,,inferred,
PC88,PC88,triode,european (Mullard/Philips code),,,,0.3,,,,,,,The PC88 is a UHF triode designed for grounded grid operation in the front end RF amplifier in Band IV and Band V television tuners,,,,inferred,
PC900,PC900,triode,european (Mullard/Philips code),,,,0.3,,,,,,,The PC900 is a miniature VHF amplifier triode for use as an RF amplifier in television receivers. It is low impedance and has a high mutual conductance.,,,,inferred,
PC97,PC97,triode,european (Mullard/Philips code),,,,0.3,,,,,,,The PC97 is a VHF triode. It has a high mutual conductance and could be used as a signal pre-amplifier.,,,,inferred,
PCC189,PCC189,double triode,european (Mullard/Philips code),,,,0.3,,,,,,,The PCC189 is a low impedance high gain double triode for use as a cascode amplifier in television front-ends. It specifically states that it is built with frame grids. The valves are variable μ types for use at RF as AGC controlled devices.,,,,inferred,
PCC84,PCC84,double triode,european (Mullard/Philips code),,,,0.3,,,,,,,The PCC84 double triode shows how valves developed to meet the needs of VHF television transmission. The PCC84 and PCF80 both featured in set-top converters for the new ITV television Band III channels that commenced broadcasting in 1955. The transmissions were on around 170 MHz and much higher in frequency than the BBC Band I signals at around 50 MHz.,30L1 7AN7 B319 CV5191,,,inferred,
PCC85,PCC85,double triode,european (Mullard/Philips code),,,,0.3,,,,,,,,,,,inferred,
PCF210,PCF210,triode + pentode,european (Mullard/Philips code),,,,0.3,,,,,,,,,,,inferred,
PCF80,PCF80,triode + pentode,european (Mullard/Philips code),,,,0.3,,,,,,,"The valve is a triode pentode, with separate cathodes, designed to function as a mixer and oscillator in the tuner.",,,,inferred,
PCF801,PCF801,triode + pentode,european (Mullard/Philips code),,,,0.3,,,,,,,The PCF801 is a television mixer oscillator. Triode pentode combinations worked better at high frequencies than hexode mixers.,,,,inferred,
PCF802,PCF802,triode + pentode,european (Mullard/Philips code),,,,0.3,,,,,,,The PCF802 was designed as the first stages in television line frequency generation prior to the line output stage. The pentode is described by Mullard as the oscillator while the triode is for service as a reactance valve. This suggests the triode acting as a frequency controlling stage.,9JW8,,,inferred,
PCF805,PCF805,triode + pentode,european (Mullard/Philips code),,,,0.3,,,,,,,purpose designed oscillator and mixer for frequency changer use in VHF television receivers.,,,,inferred,
PCF806,PCF806,triode + pentode,european (Mullard/Philips code),,,,0.3,,,,,,,triode and frame-grid pentode frequency changer for VHF television receivers up to 220 MHz.,,,,inferred,
PCF905,PCF905,triode + pentode,european (Mullard/Philips code),,,,0.3,,,,,,,"No information, maybe PCF805 t is a purpose designed oscillator and mixer for frequency changer use in VHF television receivers.",,,,inferred,
PCH200,PCH200,triode + hexode/heptode,european (Mullard/Philips code),,,,0.3,,,,,,,triode heptode. The triode was designed as a pulse amplifier and the heptode section was designed for service as a noise gated sync. separator in colour television receivers.,,,,inferred,
PCH84,PCH84,triode + hexode/heptode,european (Mullard/Philips code),,,,0.3,,,,,,,The PCF84 is triode pentode oscillator and mixer for the front ends of VHF television sets.,,,,inferred,
PCL800,PCL800,triode + output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,Triode output pentode designed for field timebase or audio service. The PCL800 is a television receiver valve with a 300 mA heater for use with series heater chains. Domestic televisions worked at mains voltage and did not have a mains transformer.,,,,inferred,
PCL805,PCL805,triode + output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,triode pentode was purpose designed as a domestic television receiver frame output stage.,,,,inferred,
PCL80585,PCL805/85,,,,,,,,,,,,,The PCL85 is a triode and output pentode combined.,12GV8,,,inferred,
PCL82,PCL82,triode + output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,The PCL82 triode pentode is typical of valve television receivers audio output stages,,,,inferred,
PCL83,PCL83,triode + output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,The PCL83 is a television triode output pentode. It is used as a frame timebase and frame output stage or audio output stage if required. It produces enough audio output power for an average domestic environment and was made from the early 1950s.,CV5144 LN309,,,inferred,
PCL84,PCL84,triode + output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,The PCL84 is a television triode and output pentode mainly for use as a video output stage.,,,,inferred,
PCL85,PCL85,triode + output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,The PCL85 is a triode and output pentode combined.,12GV8,,,inferred,
PCL86,PCL86,triode + output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,"This PCL86 was made in the UK by Mullard and was designed for the audio stage of a television receiver and offered a quality output at about 4W. Pentode, Triode.",,,,inferred,
PF200,PF200,pentode,european (Mullard/Philips code),,,,0.3,,,,,,,"The PFL200 combines a screened amplifier pentode and an output pentode in the one envelope. It was designed for television use, but probably not for audio output as the operating conditions do not give an output power. The mutual conductance of the output pentode at 21 is very high, pointing to a very small space between cathode and control grid.",,,,inferred,
PFL200,PFL200,pentode + output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,"two separate pentode valves in one package. For consumer electronics products cost reduction was vital, and the more functionality within each envelope the bette",,,,inferred,
PFL250,PFL250,pentode + output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,,,,,inferred,
PL504,PL504,output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,Pentode output valve -found their way into amateur radio transmitters for service at HF (up to 30 MHz) because of their peak voltage characteristics and relatively high current capability.,,,,inferred,
PL509,PL509,output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,"The PL509 was one of the last TV line timebase output pentode valves to be designed. The PL519 replaced the PL509 and was pin compatible. These valves were designed for service in colour television receivers employing shadow mask tubes. The EL509 differs only in heater requirements. The normal anode voltage of 160 Volts is designed to be exceeded by pulses of up to 8,000 Volts and 1.4 Amps.","40KG6, 40KG6A",,,inferred,
PL802,PL802,output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,purpose designed video output pentode for driving a cathode ray tube with the wide bandwidth signal needed for colour TV picture information. 300V at 6 watts,,,,inferred,
PL81,PL81,output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,"The PL81 Line Ouput, 6KV was designed for universal mains sets without a mains transformer and with the heaters on a series chain. The parameters given are for a pair in push pull audio service.",21A6,,,inferred,
PL82,PL82,output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,normally be found in audio stages of television receivers. A pair used in push pull class AB1 would deliver 9 Watts at 4 % distortion,,,,inferred,
PL83,PL83,output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,This is a true pentode with three wire grids. Used for video amplifier,,,,inferred,
PL84,PL84,output pentode/tetrode,european (Mullard/Philips code),,,,0.3,,,,,,,"audio output pentode was designed for use in television receivers. Like the UL84 with a 100mA heater it is a low voltage high current version of the EL84, itself a standard in design.",,,,inferred,
PM1LF,PM1LF,,,,,,,,,,,,,Type PM1LF was first introduced in 1926,210LF CV3642 L210,,,inferred,
PY33,PY33,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,The PY33 is an HT rectifier for television receivers. It operates directly from the mains input and with a series resistance of 25 Ohms it will feed a reservoir capacitor of 200 µF.,PY32 U291,,,inferred,
PY4400,PY 4-400,power tetrode (transmitting),,,,,,,,,,,,,,,,inferred,
PY80,PY80,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,The PY80 is an early efficiency diode for television line scan systems and was part of the world series valves introduced by Mullard in 1950. The maximum peak inverse voltage on the anode has to be under 4 kV. The peak heater to cathode voltage has to be under 650 Volts.,,,,inferred,
PY800,PY800,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,The PY800 was one of the last rectifiers of its type to be developed and is based on the PY81 from 1952. It was specifically built as an efficiency diode for television line scan in sets using 110° deflection angle tubes.,,,,inferred,
PY801,PY801,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,The PY801 is a television efficiency diode for use in line timebase output circuits. Typically it will have a heater cathode insulation that is good to 6 kV and a peak current capability of 500 mA.,A61 U193 U349,,,inferred,
PY802,PY802,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,,,,,inferred,
PY81,PY81,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,"The PY81 was specifically built as an efficiency diode for television line scan. The rectifier is specified as having a peak inverse voltage rating of 4,500 Volts, and a peak current rating of 450 mA.",17Z3 PY800 U153 U329,,,inferred,
PY81800,PY81/800,,,,,,,,,,,,,The PY80 is an early efficiency diode for television line scan systems and was part of the world series valves introduced by Mullard in 1950. Peak inverse voltage must be below 4KV,19X3 U152 U309,,,inferred,
PY82,PY82,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,The PY82 is an efficiency diode for use in domestic television receivers.,,,,inferred,
PY83,PY83,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,"The PY83 is an efficiency diode for use in television line scan circuits. The peak inverse anode voltage is 5,600 Volts and peak current is 500 mA.",,,,inferred,
PY86,PY86,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,,,,,inferred,
PY88,PY88,HV half-wave rectifier,european (Mullard/Philips code),,,,0.3,,,,,,,"he PY88 is an efficiency diode for use in television line scan systems, where stored energy in the inductances is returned to the HT rail capacitors. The maximum peak inverse voltage (PIV) rating is 6,600 Volts. The peak anode current is 550 mA. These diodes require a very good heater cathode insulation and the PY88 is rated at 6,600 Volts.",,,,inferred,
QP22B,QP22B,double pentode (QPP output),british (GEC/Osram code),,,,,,,,,,,"The QP22B is a battery double pentode, designed for quiescent push pull class B audio amplification. Class B amplification produces considerable distortion at the points in the cycle where the valves move from cut-off to conduction. The advantage is that when not driven by a signal the power consumption from the HT battery is low. The total power output is 1 Watt and was aimed at driving a loudspeaker, quite a luxury when battery powered.",240QP K77B,,,inferred,
QQV026,QQV02-6,double beam tetrode,transmitting,,,,,,,,,,,ouble beam tetrodes in this 1950s series from Mullard. It was introduced for 470 MHz (UHF) mobile transmitters.,,,,inferred,
QQV0640,QQV06-40,double beam tetrode,transmitting,,,,,,,,,,,ithin the envelope are two beam tetrodes with a maximum anode dissipation of 40 W.,,,,inferred,
QQV310,QQV3-10,double beam tetrode,transmitting,,,,,,,,,,,double beam tetrode used in VHF transmitters,,,,inferred,
QS15015,QS 150/15,voltage stabiliser (cold cathode),,,,,,,,,,,,miniature voltage stabiliser. The striking voltage is 170 and for burning currents of 2 - 10 mA the regulation is 5 Volts.,,,,inferred,
QY3125,QY3-125,power tetrode (transmitting),,,,,,,,,,,,,,,,inferred,
R71,R71,rectifier,,,,,,,,,,,,,,,,inferred,
SIMILAR,?(SIMILAR),,,,,,,,,,,,,,,,,inferred,
TD22A,TD22A,,,,,,,,,,,,,"1934, The TDD2A is a double diode triode for battery receivers. The function was as detector, AGC rectifier and first audio voltage amplifier in a superhet broadcast receiver.",AR10 CV1308 CV3726 HD24 L21/DD,,,inferred,
TY4125,TY4-125,power tetrode (transmitting),,,,,,,,,,,,,,,,inferred,
U191,U191,rectifier,british (GEC/Osram code),,,,,,,,,,,The U191 is a television efficiency diode. The function of the device is to enable the stored energy of the line scan coils to be returned to the supply rail during flyback.,,,,inferred,
U25,U25,rectifier,british (GEC/Osram code),,,,,,,,,,,The U25 is a dedicated television EHT rectifier for picture tube supplies. The Mullard code for this valve would be KY50 but U25 was the standard name. The valve is rated at 19 kV peak inverse volts,,,,inferred,
U26,U26,rectifier,british (GEC/Osram code),,,,,,,,,,,purpose designed EHT rectifier for monochrome television picture tube supplies. The U26,,,,inferred,
U282,U282,rectifier,british (GEC/Osram code),,,,,,,,,,,"The U282 is a television efficiency diode, used to return energy from the collapsing field in the line coils to the HT rail. The peak current is given as 600 mA",,,,inferred,
U319,U319,rectifier,british (GEC/Osram code),,,,,,,,,,,U319 is a half wave rectifier designed for 300 mA heater chain equipment.,,,,inferred,
UABC80,UABC80,signal diode + double diode + triode,european (Mullard/Philips code),,,,0.1,,,,,,,The UABC80 is a triple diode triode,,,,inferred,
UAF42,UAF42,signal diode + pentode,european (Mullard/Philips code),,,,0.1,,,,,,,The UAF42 is an early all glass valve introduced in 1948 together with the EAF42 and consists of a single diode and a variable μ RF amplifier pentode in a single envelope.,12S7 WD142,,,inferred,
UBC41,UBC41,double diode + triode,european (Mullard/Philips code),,,,0.1,,,,,,,"The UBC41 is an early all glass valve and less clear or free from imperfections than later valves. This is a double diode triode valve on a B8B base. Mullard describe the UBC41 as a high gain triode for use as an AF voltage amplifier, combined with twin diodes, for DC/AC mains operation.",10LD3 141DDT 14L7 DH118 DH142,,,inferred,
UBC81,UBC81,double diode + triode,european (Mullard/Philips code),,,,0.1,,,,,,,small double diode triode was designed for signal demodulation and AGC detection in universal mains domestic equipment. The triode section could be used for a first stage of amplification after the detection process.,10LD13 DH119,,,inferred,
UCC85,UCC85,double triode,european (Mullard/Philips code),,,,0.1,,,,,,,"The UCC85 is the universal supply version of the ECC85 VHF double triode, designed for RF amplifier and local oscillator use in FM radio receivers.",,,,inferred,
UCH42,UCH42,triode + hexode/heptode,european (Mullard/Philips code),,,,0.1,,,,,,,"The UCH42 is an early all glass triode hexode from 1948 and was designed as oscillator and mixer for superhet receivers, and the hexode section was designed to operate with an AGC control voltage.",,,,inferred,
UCH81,UCH81,triode + hexode/heptode,european (Mullard/Philips code),,,,0.1,,,,,,,,,,,inferred,
UCL83,UCL83,triode + output pentode/tetrode,european (Mullard/Philips code),,,,0.1,,,,,,,,The UCL83 is an AF amplifier triode and an output pentode combined in a single envelope. The use would have been for post detector amplification and loudspeaker driving in broadcast receivers and small VHF televisions sets. The 100 mA heater is for use on heater chains in universal AC or DC mains equipment,,,inferred,
UF41,UF41,pentode,european (Mullard/Philips code),,,,0.1,,,,,,,he UF41 from Mullard is a vari-mu amplifier pentode. Use was for AGC controlled RF and IF amplification in superhet receivers,,,,inferred,
UF89,UF89,pentode,european (Mullard/Philips code),,,,0.1,,,,,,,,,,,inferred,
UL41,UL41,output pentode/tetrode,european (Mullard/Philips code),,,,0.1,,,,,,,The UL41 is an audio output pentode from 1953. The U series were designed to operate with a heater chain across the mains in the days when AC mains had not reached all parts of the country. These universal sets contained no mains transformers and the valves were designed for low anode voltage and higher anode current to provide adequate output. The UL41 could produce 4.2 Watts at 10% distortion.,,,,inferred,
UL84,UL84,output pentode/tetrode,european (Mullard/Philips code),,,,0.1,,,,,,,"The Mullard EL84 is a classic audio pentode valve, immortalised in the 1950s 5-10 design for an audio amplifier. The UL84 was designed with a 100 mA heater, for use in universal voltage environments and thus with limited HT available. Our exhibit carries the Mullard logo but was not of UK manufacture.On a DC mains supply no transformer to increase the HT voltage is possible so the UL84 is designed to operate at lower anode voltages and increased anode current.",6BQ5 6P15 CV2975 N709,,,inferred,
UY41,UY41,HV half-wave rectifier,european (Mullard/Philips code),,,,0.1,,,,,,,The UY41 is a half wave rectifier designed for universal domestic equipment and replaced the UY21. By universal we mean AC or DC mains input and therefore no mains transformer.,,,,inferred,
UY85,UY85,HV half-wave rectifier,european (Mullard/Philips code),,,,0.1,,,,,,,The UY85 is a half wave rectifier and would be used on small universal (AC/DC) mains appliances. The heater chain would draw 100 mA and this was to enable the small number of valves used in a broadcast radio receiver to be run without a large dropper (ballast) resister.,,,,inferred,
VR10530,VR 105/30,,,,,,,,,,,,,old cathode voltage stabiliser. The details of its operation are given in the type designation. This tube will stabilise the voltage across it to 105 Volts for output currents between 5 mA and 30 mA. To strike the tube the voltage must exceed 135 V.,,,,inferred,
VR150,VR-150,voltage stabiliser (cold cathode),,,,,,,,,,,,The VR150 is a gas filled discharge tube that exhibits a near constant voltage across the valve for currents within the range 5mA to 40mA. In fact the regulation is 150 plus or minus 5.5 Volts.,0D3 150C3 CV216 CV685 G150/3D G180/2D GD150A/S GL150/30 KD25 QS150/40 VT-139 WT-294,,,inferred,
VT139,VT-139,,european (Mullard/Philips code),,,,0.05,,,,,,,,,,,inferred,
VT197,VT197,,european (Mullard/Philips code),,,,0.05,,,,,,,,,,,inferred,
VT61A,VT61A,double triode (VHF),,,,,,,,,,,,,,,,inferred,VHF | VT61A | Double Triode | 15W output | 150Mhz
Z329,Z329,RF pentode,british (GEC/Osram code),,,,,,,,,,,The Z329 is a miniature screened pentode that was designed to operate at the standard TV intermediate frequency of 33 MHz. The IF stages in any superhet receiver are where the main signal voltage amplification takes place.,30F5 7ED7 PF818,,,inferred,
Z749,Z749,RF pentode,british (GEC/Osram code),,,,,,,,,,,"The Z749 is a screened amplifier pentode, the GEC name was used as the professional brand of M-OV. The Z749 is directly equivalent to the EF812 and closely related to the EF80. TV and radar receivers would require wide bandwidth RF amplification.",6EL7 6F23 EF812,,,inferred,
Z759,Z759,RF pentode,british (GEC/Osram code),,,,,,,,,,,The Z759 is an RF pentode with a high mutual conductance designed for video or other wideband RF amplification.,CV5060,,,inferred,
